user_id,date,scenario,is_malicious
QAK7911,2026-02-15,M4,1
WTA6371,2026-02-15,new_hire_onboarding,0
DDB3409,2026-02-16,new_hire_onboarding,0
NSQ4495,2026-02-16,business_travel,0
PJA2498,2026-02-16,M7,1
SCA9486,2026-02-16,remote_relocation,0
WTA6371,2026-02-16,new_hire_onboarding,0
DDB3409,2026-02-17,new_hire_onboarding,0
FAM1900,2026-02-17,new_hire_onboarding,0
JNY6012,2026-02-17,new_hire_onboarding,0
KVS9522,2026-02-17,on_call_night_work,0
NSQ4495,2026-02-17,business_travel,0
PJA2498,2026-02-17,M7,1
PTJ4935,2026-02-17,business_travel,0
SCA9486,2026-02-17,remote_relocation,0
SLW4036,2026-02-17,quarter_close_spike,0
WTA6371,2026-02-17,new_hire_onboarding,0
DDB3409,2026-02-18,new_hire_onboarding,0
FAM1900,2026-02-18,new_hire_onboarding,0
GMQ7067,2026-02-18,M5,1
JNY6012,2026-02-18,new_hire_onboarding,0
NSQ4495,2026-02-18,business_travel,0
PJA2498,2026-02-18,M7,1
PTJ4935,2026-02-18,business_travel,0
SCA9486,2026-02-18,remote_relocation,0
SLW4036,2026-02-18,quarter_close_spike,0
WTA6371,2026-02-18,new_hire_onboarding,0
DDB3409,2026-02-19,new_hire_onboarding,0
DHG3808,2026-02-19,business_travel,0
FAM1900,2026-02-19,new_hire_onboarding,0
GMQ7067,2026-02-19,M5,1
HXH6707,2026-02-19,remote_relocation,0
JNY6012,2026-02-19,new_hire_onboarding,0
NSQ4495,2026-02-19,business_travel,0
PJA2498,2026-02-19,M7,1
PJM7982,2026-02-19,M6,1
PTJ4935,2026-02-19,business_travel,0
RZU1592,2026-02-19,legit_role_change,0
SCA9486,2026-02-19,remote_relocation,0
SLW4036,2026-02-19,quarter_close_spike,0
WTA6371,2026-02-19,new_hire_onboarding,0
ZZH3377,2026-02-19,M5,1
DDB3409,2026-02-20,new_hire_onboarding,0
DHG3808,2026-02-20,business_travel,0
FAM1900,2026-02-20,new_hire_onboarding,0
GMQ7067,2026-02-20,M5,1
HXH6707,2026-02-20,remote_relocation,0
JNY6012,2026-02-20,new_hire_onboarding,0
KVS9522,2026-02-20,on_call_night_work,0
NSQ4495,2026-02-20,business_travel,0
PJM7982,2026-02-20,M6,1
RZU1592,2026-02-20,legit_role_change,0
SCA9486,2026-02-20,remote_relocation,0
SLW4036,2026-02-20,quarter_close_spike,0
UPJ2100,2026-02-20,M3,1
WTA6371,2026-02-20,new_hire_onboarding,0
ZZH3377,2026-02-20,M5,1
DDB3409,2026-02-21,new_hire_onboarding,0
EGE2962,2026-02-21,weekend_deadline,0
FAM1900,2026-02-21,new_hire_onboarding,0
GMQ7067,2026-02-21,M5,1
JNY6012,2026-02-21,new_hire_onboarding,0
KCF6129,2026-02-21,weekend_deadline,0
LHD4579,2026-02-21,on_call_night_work,0
NSQ4495,2026-02-21,business_travel,0
SFV7598,2026-02-21,new_hire_onboarding,0
UPJ2100,2026-02-21,M3,1
WTA6371,2026-02-21,new_hire_onboarding,0
XJR8615,2026-02-21,new_hire_onboarding,0
ZZH3377,2026-02-21,M5,1
DDB3409,2026-02-22,new_hire_onboarding,0
FAM1900,2026-02-22,new_hire_onboarding,0
GMQ7067,2026-02-22,M5,1
JNY6012,2026-02-22,new_hire_onboarding,0
KCF6129,2026-02-22,weekend_deadline,0
LHD4579,2026-02-22,on_call_night_work,0
LLZ7844,2026-02-22,weekend_deadline,0
PJA2498,2026-02-22,M7,1
PTJ4935,2026-02-22,business_travel,0
QAK7911,2026-02-22,M4,1
RZU1592,2026-02-22,legit_role_change,0
SFV7598,2026-02-22,new_hire_onboarding,0
UPJ2100,2026-02-22,M3,1
VKV9371,2026-02-22,M6,1
WTA6371,2026-02-22,new_hire_onboarding,0
XJR8615,2026-02-22,new_hire_onboarding,0
YEL9905,2026-02-22,M6,1
ZZH3377,2026-02-22,M5,1
DDB3409,2026-02-23,new_hire_onboarding,0
DHG3808,2026-02-23,business_travel,0
FAM1900,2026-02-23,new_hire_onboarding,0
HXH6707,2026-02-23,remote_relocation,0
JNY6012,2026-02-23,new_hire_onboarding,0
LHD4579,2026-02-23,on_call_night_work,0
NSQ4495,2026-02-23,business_travel,0
PJA2498,2026-02-23,M7,1
PTJ4935,2026-02-23,business_travel,0
QAK7911,2026-02-23,M4,1
QJS2178,2026-02-23,M3,1
SCA9486,2026-02-23,remote_relocation,0
SFV7598,2026-02-23,new_hire_onboarding,0
SLW4036,2026-02-23,quarter_close_spike,0
SNN2223,2026-02-23,M1,1
UPJ2100,2026-02-23,M3,1
VVU9833,2026-02-23,new_hire_onboarding,0
WQD6977,2026-02-23,new_hire_onboarding,0
WTA6371,2026-02-23,new_hire_onboarding,0
XJR8615,2026-02-23,new_hire_onboarding,0
XQW0837,2026-02-23,quarter_close_spike,0
YEL9905,2026-02-23,M6,1
DDB3409,2026-02-24,new_hire_onboarding,0
DHG3808,2026-02-24,business_travel,0
DKY8909,2026-02-24,legit_role_change,0
FAM1900,2026-02-24,new_hire_onboarding,0
HXH6707,2026-02-24,remote_relocation,0
JNY6012,2026-02-24,new_hire_onboarding,0
LHD4579,2026-02-24,on_call_night_work,0
PJA2498,2026-02-24,M7,1
PKA7047,2026-02-24,on_call_night_work,0
PTJ4935,2026-02-24,business_travel,0
QAK7911,2026-02-24,M4,1
RKP1272,2026-02-24,remote_relocation,0
RPB6169,2026-02-24,M3,1
SCA9486,2026-02-24,remote_relocation,0
SFV7598,2026-02-24,new_hire_onboarding,0
SLW4036,2026-02-24,quarter_close_spike,0
SNN2223,2026-02-24,M1,1
VVU9833,2026-02-24,new_hire_onboarding,0
WQD6977,2026-02-24,new_hire_onboarding,0
WTA6371,2026-02-24,new_hire_onboarding,0
XJR8615,2026-02-24,new_hire_onboarding,0
XQW0837,2026-02-24,quarter_close_spike,0
CZV3763,2026-02-25,new_hire_onboarding,0
DDB3409,2026-02-25,new_hire_onboarding,0
DHG3808,2026-02-25,business_travel,0
DKY8909,2026-02-25,legit_role_change,0
FAM1900,2026-02-25,new_hire_onboarding,0
HXH6707,2026-02-25,remote_relocation,0
JNY6012,2026-02-25,new_hire_onboarding,0
JVA7931,2026-02-25,remote_relocation,0
PJA2498,2026-02-25,M7,1
QAK7911,2026-02-25,M4,1
QJS2178,2026-02-25,M3,1
RKP1272,2026-02-25,remote_relocation,0
SCA9486,2026-02-25,remote_relocation,0
SFV7598,2026-02-25,new_hire_onboarding,0
SLW4036,2026-02-25,quarter_close_spike,0
SNN2223,2026-02-25,M1,1
UPJ2100,2026-02-25,M3,1
VVU9833,2026-02-25,new_hire_onboarding,0
WQD6977,2026-02-25,new_hire_onboarding,0
WTA6371,2026-02-25,new_hire_onboarding,0
XJR8615,2026-02-25,new_hire_onboarding,0
XQW0837,2026-02-25,quarter_close_spike,0
