user_id,role,department,peer_group,work_start,work_end,home_country,home_city,on_call,primary_device
GND9693,Software Engineer,Engineering,Engineering-Software_Engineer,09:27,17:44,GB,London,False,JB86341
DEX6345,Sales Representative,Sales,Sales-Sales_Representative,08:35,16:46,US,New York,False,PT79282
DBZ5792,Software Engineer,Engineering,Engineering-Software_Engineer,08:03,16:43,US,New York,False,KD95946
GDQ4471,Financial Analyst,Finance,Finance-Financial_Analyst,08:34,16:44,IN,Pune,False,KK65396
HXH6707,Financial Analyst,Finance,Finance-Financial_Analyst,08:58,17:28,US,Austin,False,TU03255
QUF3361,Legal Counsel,Legal,Legal-Legal_Counsel,05:58,15:27,US,Seattle,False,JZ48439
HGD7422,Manager,Sales,Sales-Manager,06:13,14:27,GB,Manchester,False,XY27146
MHN7634,Systems Administrator,IT,IT-Systems_Administrator,08:04,16:13,US,Austin,False,RN50158
BQC9005,HR Specialist,HR,HR-HR_Specialist,09:10,18:19,GB,London,False,KK75667
NRG9357,Manager,Engineering,Engineering-Manager,09:06,18:15,IN,Hyderabad,False,LC44318
FCS6144,Manager,Engineering,Engineering-Manager,09:17,18:38,US,Austin,False,KH87786
DQV6521,Sales Representative,Sales,Sales-Sales_Representative,09:11,17:28,BR,Sao Paulo,False,TS89275
JNS0679,DevOps Engineer,DevOps,DevOps-DevOps_Engineer,09:21,18:20,US,Chicago,False,GA41434
PMT8929,Software Engineer,Engineering,Engineering-Software_Engineer,08:58,17:27,DE,Hamburg,False,PM99405
HNT5815,DevOps Engineer,DevOps,DevOps-DevOps_Engineer,08:02,16:31,DE,Berlin,False,UE34709
QJY3577,Support Agent,Support,Support-Support_Agent,06:05,14:30,US,Seattle,True,DS38487
XRA6244,Support Agent,Support,Support-Support_Agent,08:57,18:25,DE,Hamburg,False,AK03992
FVG4733,Software Engineer,Engineering,Engineering-Software_Engineer,06:04,14:17,GB,London,False,JZ77457
UPL0578,Systems Administrator,IT,IT-Systems_Administrator,09:19,18:05,BR,Rio de Janeiro,False,TH30540
XNY7975,Legal Counsel,Legal,Legal-Legal_Counsel,08:16,17:31,BR,Rio de Janeiro,False,WR65320
KZG4945,DevOps Engineer,DevOps,DevOps-DevOps_Engineer,08:07,16:53,US,Seattle,True,VR21644
LGE7701,Software Engineer,Engineering,Engineering-Software_Engineer,09:10,18:39,BR,Rio de Janeiro,False,UF47119
QKF3756,Manager,Engineering,Engineering-Manager,08:07,16:15,DE,Hamburg,False,RS79995
ETF1221,DevOps Engineer,DevOps,DevOps-DevOps_Engineer,08:38,17:45,US,Denver,True,UT89802
SUG3283,Support Agent,Support,Support-Support_Agent,08:45,17:45,US,Denver,False,AE34897
TZA7171,Sales Representative,Sales,Sales-Sales_Representative,05:49,14:33,IN,Pune,False,UP22988
FHR9973,Software Engineer,Engineering,Engineering-Software_Engineer,09:14,18:27,GB,London,False,AT91553
ZWY4442,Systems Administrator,IT,IT-Systems_Administrator,06:28,15:13,US,Seattle,False,CE53552
XBN4913,DevOps Engineer,DevOps,DevOps-DevOps_Engineer,06:13,14:46,IN,Bengaluru,False,LX80502
HHD9083,Software Engineer,Engineering,Engineering-Software_Engineer,09:05,17:59,US,Seattle,False,RZ66549
EKA8131,Support Agent,Support,Support-Support_Agent,08:22,16:31,GB,Manchester,False,KV44291
FGK0491,Software Engineer,Engineering,Engineering-Software_Engineer,09:22,18:12,US,Chicago,False,YB29906
LCK9948,Support Agent,Support,Support-Support_Agent,08:13,17:16,IN,Hyderabad,False,LD33206
BSW8923,Software Engineer,Engineering,Engineering-Software_Engineer,08:19,16:53,US,Chicago,False,VR48185
PDG5421,DevOps Engineer,DevOps,DevOps-DevOps_Engineer,08:39,17:32,DE,Hamburg,False,XB08059
FVX0860,Manager,Engineering,Engineering-Manager,08:48,18:11,US,Chicago,False,UK51776
HEP6887,Sales Representative,Sales,Sales-Sales_Representative,08:01,16:48,US,New York,False,NA25766
XLD3365,Systems Administrator,IT,IT-Systems_Administrator,09:26,18:53,IN,Pune,False,YU58975
TEB4639,Systems Administrator,IT,IT-Systems_Administrator,08:30,16:48,US,Seattle,False,WY29916
BJB5097,Software Engineer,Engineering,Engineering-Software_Engineer,08:36,17:04,IN,Pune,False,ZV87944
NTR2952,Software Engineer,Engineering,Engineering-Software_Engineer,08:37,17:56,US,New York,False,NM13240
TPW6281,Sales Representative,Sales,Sales-Sales_Representative,09:25,18:17,GB,London,False,MB30473
ZVB8376,Sales Representative,Sales,Sales-Sales_Representative,09:10,18:24,US,New York,False,HA08464
MJD5091,Manager,Support,Support-Manager,08:55,17:07,GB,Manchester,False,TP67734
XGE6775,Sales Representative,Sales,Sales-Sales_Representative,08:26,16:54,DE,Munich,False,XL46829
STE4877,Legal Counsel,Legal,Legal-Legal_Counsel,09:06,17:22,GB,Leeds,False,GA56370
VUH9541,DevOps Engineer,DevOps,DevOps-DevOps_Engineer,09:16,17:22,US,Seattle,False,NA52093
UDC1036,Legal Counsel,Legal,Legal-Legal_Counsel,09:19,17:55,IN,Bengaluru,False,SX45872
TVQ3558,Sales Representative,Sales,Sales-Sales_Representative,08:46,16:55,GB,Leeds,False,TQ90678
ETJ1562,Legal Counsel,Legal,Legal-Legal_Counsel,08:07,16:58,US,Austin,False,BC45352
QBD5497,DevOps Engineer,DevOps,DevOps-DevOps_Engineer,08:00,16:56,GB,Leeds,False,ZM70369
GTD1289,Financial Analyst,Finance,Finance-Financial_Analyst,09:23,17:43,IN,Hyderabad,False,NP84087
GCX8279,Systems Administrator,IT,IT-Systems_Administrator,09:14,18:20,GB,London,True,DT01116
UMZ2829,Sales Representative,Sales,Sales-Sales_Representative,09:02,17:07,DE,Hamburg,False,ER20942
MSQ8629,Systems Administrator,IT,IT-Systems_Administrator,06:20,15:30,GB,London,False,NU00861
